denekId,alpha_0,epsilon,tau_cemre,bic_simple,bic_cemre,winner,subj,group
8,0.001,0.0,0.01,91.36691784419226,95.46126240641436,Simple,8,1
15,0.10434482758620689,0.014285714285714287,0.5262068965517241,59.37901834268966,63.29210710592781,Simple,15,0
16,0.001,0.1,0.1820689655172414,86.5488681755582,88.876651819834,Simple,16,0
18,0.001,0.1,0.1820689655172414,87.26976567864104,90.63022361968515,Simple,18,1
20,0.8277586206896551,0.2,0.1820689655172414,78.63298077439195,83.05554814691887,Simple,20,1
21,0.001,0.0,0.01,91.36793490027014,95.46227946249225,Simple,21,1
24,0.001,0.14285714285714288,0.1820689655172414,84.40051673978817,87.80166962907124,Simple,24,1
27,0.5521724137931034,0.05714285714285715,0.1820689655172414,81.9564241403576,85.85033122232176,Simple,27,1
28,0.035448275862068966,0.0,0.35413793103448277,88.68720043490144,92.86609698143589,Simple,28,1
29,0.001,0.0,3.2793103448275858,90.40413927171645,94.53408382562402,Simple,29,1
30,0.001,0.0,0.01,91.37420611768064,95.46855067990275,Simple,30,1
33,0.2765862068965517,0.0,0.1820689655172414,86.2290396594103,90.57592297205886,Simple,33,0
35,0.13879310344827586,0.0,1.0424137931034483,30.676503434530993,34.752130612124986,Simple,35,1
43,0.8277586206896551,0.2,0.1820689655172414,89.68687880177994,93.01259629065454,Simple,43,1
45,0.20768965517241378,0.0,1.2144827586206897,24.98633273474573,29.071219095352202,Simple,45,1
51,0.8277586206896551,0.028571428571428574,0.1820689655172414,84.49584888317202,88.30875286931759,Simple,51,1
59,0.17324137931034483,0.014285714285714287,1.0424137931034483,38.392511212816764,41.074242148104915,Simple,59,0
60,0.001,0.0,0.01,91.3725752744365,95.4669198366586,Simple,60,0
63,0.5866206896551724,0.028571428571428574,0.35413793103448277,74.51633981449366,78.36645534457756,Simple,63,0
64,0.5866206896551724,0.028571428571428574,0.01,89.99837233463555,95.03481125572827,Simple,64,0
67,0.001,0.0,0.01,91.36870079701224,95.46304535923434,Simple,67,0
68,0.20768965517241378,0.0,0.6982758620689655,54.23858977170756,58.388629401611084,Simple,68,0
69,0.8277586206896551,0.18571428571428572,0.1820689655172414,86.59062169097632,90.60528372177868,Simple,69,0
74,0.13879310344827586,0.014285714285714287,0.35413793103448277,81.27438297447416,85.42215498787846,Simple,74,0
76,0.001,0.0,3.1072413793103446,91.01575945939982,95.11007070379327,Simple,76,0
77,0.001,0.0,0.01,91.36925080388713,95.46359536610923,Simple,77,0
78,0.035448275862068966,0.0,0.1820689655172414,90.59186235702923,94.78187219607372,Simple,78,0
80,0.001,0.0,0.01,91.37233323810779,95.46667780032989,Simple,80,0
82,0.035448275862068966,0.0,1.7306896551724138,45.415843486123336,49.54641888284756,Simple,82,0
